Date,RegionName,RegionType,StateName,FIPS,MonthlyTotalCases,MonthlyTotalDeaths,MonthlyAvgCases,MonthlyAvgDeaths
2020-01-31,Maricopa County,County,AZ,04013,6,0,1.0,0.0
2020-01-31,Los Angeles County,County,CA,06037,6,0,1.0,0.0
2020-01-31,Orange County,County,CA,06059,7,0,1.0,0.0
2020-01-31,Santa Clara County,County,CA,06085,1,0,1.0,0.0
2020-01-31,Cook County,County,IL,17031,10,0,1.25,0.0
2020-01-31,Snohomish County,County,WA,53061,11,0,1.0,0.0
2020-02-29,Maricopa County,County,AZ,04013,29,0,1.0,0.0
2020-02-29,Humboldt County,County,CA,06023,10,0,1.0,0.0
2020-02-29,Los Angeles County,County,CA,06037,29,0,1.0,0.0
2020-02-29,Marin County,County,CA,06041,4,0,1.0,0.0
2020-02-29,Napa County,County,CA,06055,4,0,1.0,0.0
2020-02-29,Orange County,County,CA,06059,29,0,1.0,0.0
2020-02-29,Sacramento County,County,CA,06067,17,0,1.8888888888888888,0.0
2020-02-29,San Diego County,County,CA,06073,20,0,1.0,0.0
2020-02-29,San Francisco County,County,CA,06075,62,0,2.2142857142857144,0.0
2020-02-29,Santa Clara County,County,CA,06085,60,0,2.0689655172413794,0.0
2020-02-29,Solano County,County,CA,06095,46,0,7.666666666666667,0.0
2020-02-29,Sonoma County,County,CA,06097,4,0,1.0,0.0
2020-02-29,Cook County,County,IL,17031,59,0,2.0344827586206895,0.0
2020-02-29,Suffolk County,County,MA,25025,29,0,1.0,0.0
2020-02-29,Douglas County,County,NE,31055,151,0,11.615384615384615,0.0
2020-02-29,Washington County,County,OR,41067,2,0,1.0,0.0
2020-02-29,Bexar County,County,TX,48029,91,0,5.055555555555555,0.0
2020-02-29,Salt Lake County,County,UT,49035,5,0,1.0,0.0
2020-02-29,King County,County,WA,53033,5,1,2.5,0.5
2020-02-29,Snohomish County,County,WA,53061,31,0,1.0689655172413792,0.0
2020-02-29,Spokane County,County,WA,53063,24,0,4.0,0.0
2020-02-29,Dane County,County,WI,55025,25,0,1.0,0.0
2020-03-31,Anchorage County,County,AK,02020,407,8,20.35,0.4
2020-03-31,Fairbanks North Star Borough County,County,AK,02090,211,0,13.1875,0.0
2020-03-31,Juneau City and Borough County,County,AK,02110,35,0,3.888888888888889,0.0
2020-03-31,Kenai Peninsula Borough County,County,AK,02122,60,0,4.285714285714286,0.0
2020-03-31,Ketchikan Gateway Borough County,County,AK,02130,118,0,7.866666666666666,0.0
2020-03-31,Matanuska-Susitna Borough County,County,AK,02170,20,0,2.2222222222222223,0.0
2020-03-31,Autauga County,County,AL,01001,43,0,5.375,0.0
2020-03-31,Baldwin County,County,AL,01003,95,0,5.277777777777778,0.0
2020-03-31,Bibb County,County,AL,01007,5,0,2.5,0.0
2020-03-31,Blount County,County,AL,01009,29,0,4.142857142857143,0.0
2020-03-31,Bullock County,County,AL,01011,16,0,2.6666666666666665,0.0
2020-03-31,Butler County,County,AL,01013,7,0,1.0,0.0
2020-03-31,Calhoun County,County,AL,01015,40,0,2.857142857142857,0.0
2020-03-31,Chambers County,County,AL,01017,166,9,12.76923076923077,0.6923076923076923
2020-03-31,Cherokee County,County,AL,01019,10,0,1.4285714285714286,0.0
2020-03-31,Chilton County,County,AL,01021,48,0,6.857142857142857,0.0
2020-03-31,Choctaw County,County,AL,01023,9,0,1.5,0.0
2020-03-31,Clay County,County,AL,01027,11,0,1.5714285714285714,0.0
2020-03-31,Cleburne County,County,AL,01029,24,0,3.4285714285714284,0.0
2020-03-31,Colbert County,County,AL,01033,14,0,2.0,0.0
2020-03-31,Coosa County,County,AL,01037,17,0,2.8333333333333335,0.0
2020-03-31,Covington County,County,AL,01039,10,0,2.0,0.0
2020-03-31,Crenshaw County,County,AL,01041,6,0,1.0,0.0
2020-03-31,Cullman County,County,AL,01043,57,0,4.75,0.0
2020-03-31,Dallas County,County,AL,01047,14,0,2.0,0.0
2020-03-31,DeKalb County,County,AL,01049,21,0,3.5,0.0
2020-03-31,Elmore County,County,AL,01051,129,0,6.7894736842105265,0.0
2020-03-31,Escambia County,County,AL,01053,5,0,1.0,0.0
2020-03-31,Etowah County,County,AL,01055,38,0,5.428571428571429,0.0
2020-03-31,Fayette County,County,AL,01057,2,0,1.0,0.0
2020-03-31,Franklin County,County,AL,01059,22,0,2.4444444444444446,0.0
2020-03-31,Greene County,County,AL,01063,13,0,2.6,0.0
2020-03-31,Hale County,County,AL,01065,2,0,1.0,0.0
2020-03-31,Houston County,County,AL,01069,40,0,4.444444444444445,0.0
2020-03-31,Jackson County,County,AL,01071,42,7,3.5,0.5833333333333334
2020-03-31,Jefferson County,County,AL,01073,1957,0,103.0,0.0
2020-03-31,Lamar County,County,AL,01075,12,0,1.0,0.0
2020-03-31,Lauderdale County,County,AL,01077,87,6,7.25,0.5
2020-03-31,Lawrence County,County,AL,01079,19,0,2.7142857142857144,0.0
2020-03-31,Lee County,County,AL,01081,508,4,29.88235294117647,0.23529411764705882
2020-03-31,Limestone County,County,AL,01083,124,0,6.526315789473684,0.0
2020-03-31,Lowndes County,County,AL,01085,6,0,1.0,0.0
2020-03-31,Macon County,County,AL,01087,3,0,1.0,0.0
2020-03-31,Madison County,County,AL,01089,558,6,37.2,0.4
2020-03-31,Marengo County,County,AL,01091,19,0,3.1666666666666665,0.0
2020-03-31,Marion County,County,AL,01093,58,0,5.2727272727272725,0.0
2020-03-31,Marshall County,County,AL,01095,30,0,4.285714285714286,0.0
2020-03-31,Mobile County,County,AL,01097,242,5,18.615384615384617,0.38461538461538464
2020-03-31,Monroe County,County,AL,01099,4,0,1.0,0.0
2020-03-31,Montgomery County,County,AL,01101,182,1,9.578947368421053,0.05263157894736842
2020-03-31,Morgan County,County,AL,01103,100,0,12.5,0.0
2020-03-31,Pickens County,County,AL,01107,13,0,1.8571428571428572,0.0
2020-03-31,Pike County,County,AL,01109,23,0,3.2857142857142856,0.0
2020-03-31,Randolph County,County,AL,01111,9,0,1.8,0.0
2020-03-31,Russell County,County,AL,01113,7,0,1.0,0.0
2020-03-31,St. Clair County,County,AL,01115,88,0,5.866666666666666,0.0
2020-03-31,Shelby County,County,AL,01117,604,2,35.529411764705884,0.11764705882352941
2020-03-31,Sumter County,County,AL,01119,2,0,1.0,0.0
2020-03-31,Talladega County,County,AL,01121,40,0,2.857142857142857,0.0
2020-03-31,Tallapoosa County,County,AL,01123,54,2,6.0,0.2222222222222222
2020-03-31,Tuscaloosa County,County,AL,01125,215,0,11.31578947368421,0.0
2020-03-31,Walker County,County,AL,01127,184,0,14.153846153846153,0.0
2020-03-31,Washington County,County,AL,01129,22,0,1.8333333333333333,0.0
2020-03-31,Wilcox County,County,AL,01131,14,0,2.0,0.0
2020-03-31,Winston County,County,AL,01133,10,0,2.0,0.0
2020-03-31,Arkansas County,County,AR,05001,5,0,1.6666666666666667,0.0
2020-03-31,Ashley County,County,AR,05003,3,0,1.0,0.0
2020-03-31,Baxter County,County,AR,05005,8,0,1.6,0.0
2020-03-31,Benton County,County,AR,05007,211,0,16.23076923076923,0.0
2020-03-31,Boone County,County,AR,05009,14,0,1.0769230769230769,0.0
2020-03-31,Bradley County,County,AR,05011,38,0,2.7142857142857144,0.0
2020-03-31,Chicot County,County,AR,05017,9,0,1.5,0.0
2020-03-31,Clark County,County,AR,05019,140,0,10.76923076923077,0.0
2020-03-31,Cleburne County,County,AR,05023,482,14,30.125,0.875
2020-03-31,Cleveland County,County,AR,05025,43,0,2.6875,0.0
2020-03-31,Columbia County,County,AR,05027,11,0,1.375,0.0
2020-03-31,Conway County,County,AR,05029,15,4,1.875,0.5
2020-03-31,Craighead County,County,AR,05031,49,0,3.769230769230769,0.0
2020-03-31,Crawford County,County,AR,05033,12,0,1.5,0.0
2020-03-31,Crittenden County,County,AR,05035,112,0,8.615384615384615,0.0
2020-03-31,Cross County,County,AR,05037,12,0,1.5,0.0
2020-03-31,Desha County,County,AR,05041,24,0,1.5,0.0
2020-03-31,Drew County,County,AR,05043,13,0,1.8571428571428572,0.0
2020-03-31,Faulkner County,County,AR,05045,241,0,17.214285714285715,0.0
2020-03-31,Garland County,County,AR,05051,217,0,12.764705882352942,0.0
2020-03-31,Grant County,County,AR,05053,29,0,2.230769230769231,0.0
2020-03-31,Greene County,County,AR,05055,31,0,2.3846153846153846,0.0
2020-03-31,Hempstead County,County,AR,05057,3,0,1.0,0.0
2020-03-31,Hot Spring County,County,AR,05059,17,0,2.125,0.0
2020-03-31,Howard County,County,AR,05061,18,0,3.0,0.0
2020-03-31,Independence County,County,AR,05063,30,0,2.3076923076923075,0.0
2020-03-31,Jefferson County,County,AR,05069,340,0,16.19047619047619,0.0
2020-03-31,Johnson County,County,AR,05071,8,0,2.0,0.0
2020-03-31,Lawrence County,County,AR,05075,11,0,1.375,0.0
2020-03-31,Lincoln County,County,AR,05079,50,0,3.125,0.0
2020-03-31,Lonoke County,County,AR,05085,26,0,4.333333333333333,0.0
2020-03-31,Miller County,County,AR,05091,1,0,1.0,0.0
2020-03-31,Nevada County,County,AR,05099,3,0,1.0,0.0
2020-03-31,Newton County,County,AR,05101,2,0,1.0,0.0
2020-03-31,Perry County,County,AR,05105,4,0,1.3333333333333333,0.0
2020-03-31,Pike County,County,AR,05109,17,0,2.125,0.0
2020-03-31,Poinsett County,County,AR,05111,33,0,2.5384615384615383,0.0
2020-03-31,Polk County,County,AR,05113,23,0,1.7692307692307692,0.0
2020-03-31,Pope County,County,AR,05115,34,0,2.6153846153846154,0.0
2020-03-31,Pulaski County,County,AR,05119,937,14,46.85,0.7
2020-03-31,Randolph County,County,AR,05121,13,0,2.1666666666666665,0.0
2020-03-31,St. Francis County,County,AR,05123,3,0,1.5,0.0
2020-03-31,Saline County,County,AR,05125,54,0,3.176470588235294,0.0
2020-03-31,Scott County,County,AR,05127,1,0,1.0,0.0
2020-03-31,Searcy County,County,AR,05129,33,0,2.5384615384615383,0.0
2020-03-31,Sebastian County,County,AR,05131,36,0,2.769230769230769,0.0
2020-03-31,Sevier County,County,AR,05133,16,0,1.2307692307692308,0.0
2020-03-31,Stone County,County,AR,05137,31,0,3.875,0.0
2020-03-31,Union County,County,AR,05139,34,0,4.25,0.0
2020-03-31,Van Buren County,County,AR,05141,126,3,9.692307692307692,0.23076923076923078
2020-03-31,Washington County,County,AR,05143,124,0,8.857142857142858,0.0
2020-03-31,White County,County,AR,05145,52,0,6.5,0.0
2020-03-31,Woodruff County,County,AR,05147,8,0,1.0,0.0
2020-03-31,Apache County,County,AZ,04001,100,0,9.090909090909092,0.0
2020-03-31,Cochise County,County,AZ,04003,23,0,2.090909090909091,0.0
