RegionName,RegionType,StateName,FIPS,TotalCases,Location
New York County,County,NY,36061,49693934,"New York County, NY"
Los Angeles County,County,CA,06037,36297328,"Los Angeles County, CA"
Cook County,County,IL,17031,23821196,"Cook County, IL"
Miami-Dade County,County,FL,12086,21375797,"Miami-Dade County, FL"
Maricopa County,County,AZ,04013,18800587,"Maricopa County, AZ"
Harris County,County,TX,48201,16262000,"Harris County, TX"
Dallas County,County,TX,48113,10721399,"Dallas County, TX"
Broward County,County,FL,12011,9751275,"Broward County, FL"
Nassau County,County,NY,36059,9526911,"Nassau County, NY"
Suffolk County,County,NY,36103,9352025,"Suffolk County, NY"
