Date,RegionID,SizeRank,RegionName,RegionType,StateName,State,StateCodeFIPS,MunicipalCodeFIPS,FIPS,HomeValue
2018-01-31,2616,220,Anchorage Borough,County,AK,AK,02,020,02020,296213.0
2018-01-31,3290,593,Fairbanks North Star Borough,County,AK,AK,02,090,02090,237453.0
2018-01-31,1127,1408,Juneau Borough,County,AK,AK,02,110,02110,375702.0
2018-01-31,3274,2219,Ketchikan Gateway Borough,County,AK,AK,02,130,02130,293532.0
2018-01-31,3277,636,Matanuska Susitna Borough,County,AK,AK,02,170,02170,235248.0
2018-01-31,1524,916,Autauga County,County,AL,AL,01,001,01001,191237.0
2018-01-31,1525,337,Baldwin County,County,AL,AL,01,003,01003,188009.0
2018-01-31,1531,1515,Barbour County,County,AL,AL,01,005,01005,80840.0
2018-01-31,100,1692,Bibb County,County,AL,AL,01,007,01007,109350.0
2018-01-31,883,883,Blount County,County,AL,AL,01,009,01009,200955.0
2018-01-31,1569,504,Calhoun County,County,AL,AL,01,015,01015,92956.0
2018-01-31,2181,1320,Chambers County,County,AL,AL,01,017,01017,62279.0
2018-01-31,1614,1092,Chilton County,County,AL,AL,01,021,01021,110201.0
2018-01-31,945,977,Coffee County,County,AL,AL,01,031,01031,112050.0
2018-01-31,1636,917,Colbert County,County,AL,AL,01,033,01033,101624.0
2018-01-31,456,2329,Coosa County,County,AL,AL,01,037,01037,92964.0
2018-01-31,1647,681,Cullman County,County,AL,AL,01,043,01043,124038.0
2018-01-31,145,972,Dale County,County,AL,AL,01,045,01045,83880.0
2018-01-31,974,1088,Dallas County,County,AL,AL,01,047,01047,52116.0
2018-01-31,1656,750,De Kalb County,County,AL,AL,01,049,01049,86387.0
2018-01-31,1003,687,Elmore County,County,AL,AL,01,051,01051,158670.0
2018-01-31,2258,1211,Escambia County,County,AL,AL,01,053,01053,79094.0
2018-01-31,1007,559,Etowah County,County,AL,AL,01,055,01055,81284.0
2018-01-31,1034,1537,Geneva County,County,AL,AL,01,061,01061,78338.0
2018-01-31,170,2064,Hale County,County,AL,AL,01,065,01065,78595.0
2018-01-31,552,1961,Henry County,County,AL,AL,01,067,01067,85702.0
2018-01-31,1781,571,Houston County,County,AL,AL,01,069,01069,121068.0
2018-01-31,1791,930,Jackson County,County,AL,AL,01,071,01071,105857.0
2018-01-31,2732,92,Jefferson County,County,AL,AL,01,073,01073,128875.0
2018-01-31,2952,618,Lauderdale County,County,AL,AL,01,077,01077,113023.0
2018-01-31,2378,1317,Lawrence County,County,AL,AL,01,079,01079,104404.0
2018-01-31,78,436,Lee County,County,AL,AL,01,081,01081,186223.0
2018-01-31,2780,668,Limestone County,County,AL,AL,01,083,01083,164143.0
2018-01-31,1888,2342,Lowndes County,County,AL,AL,01,085,01085,78307.0
2018-01-31,1894,191,Madison County,County,AL,AL,01,089,01089,176042.0
2018-01-31,2405,617,Marshall County,County,AL,AL,01,095,01095,116344.0
2018-01-31,1208,162,Mobile County,County,AL,AL,01,097,01097,115403.0
