RegionName,RegionType,StateName,FIPS,HomeValueIncrease2020(%),Location
Grays Harbor County,County,WA,53027,13.291796469366556,"Grays Harbor County, WA"
York County,County,SC,45091,12.645955490968074,"York County, SC"
Warren County,County,TN,47177,12.084579594549695,"Warren County, TN"
Canyon County,County,ID,16027,10.950149634557826,"Canyon County, ID"
Kootenai County,County,ID,16055,10.53626881121108,"Kootenai County, ID"
Thurston County,County,WA,53067,10.421751847956084,"Thurston County, WA"
Madison County,County,AL,01089,10.397551962344131,"Madison County, AL"
Cumberland County,County,NJ,34011,9.900298002281005,"Cumberland County, NJ"
Washington County,County,MS,28151,9.835811648079297,"Washington County, MS"
Spalding County,County,GA,13255,9.697698205899696,"Spalding County, GA"
